species,JENKINS_SPGRPCD,type,WDSG
8307,8,H,0.57
8309,8,H,0.55
8311,8,H,0.52
8315,8,H,0.48
8316,8,H,0.48
8317,8,H,0.48
8318,8,H,0.48
8319,8,H,0.48
8320,8,H,0.48
8321,8,H,0.48
8322,8,H,0.48
8323,8,H,0.48
8324,8,H,0.48
8325,8,H,0.48
8326,8,H,0.48
8327,8,H,0.48
8328,8,H,0.48
8330,8,H,0.48
8331,8,H,0.48
8336,8,H,0.48
8338,8,H,0.48
8339,8,H,0.48
8340,8,H,0.52
8341,8,H,0.34
8357,8,H,0.47
8342,8,H,0.52
756,10,H,0.78
8343,8,H,0.8
8344,8,H,0.52
758,10,H,0.78
757,10,H,0.78
769,8,H,0.47
766,8,H,0.47
770,8,H,0.47
8350,8,H,0.52
771,8,H,0.47
8345,8,H,0.47
8348,8,H,0.47
772,8,H,0.47
773,8,H,0.47
8351,8,H,0.47
768,8,H,0.47
6696,8,H,0.48
774,8,H,0.47
6708,8,H,0.47
8346,8,H,0.52
765,8,H,0.47
8347,8,H,0.52
761,8,H,0.47
764,8,H,0.47
8360,8,H,0.47
762,8,H,0.47
6707,8,H,0.47
763,8,H,0.47
8352,8,H,0.52
8353,8,H,0.52
8363,8,H,0.52
8413,8,H,0.52
8364,8,H,0.52
8365,8,H,0.54
8366,8,H,0.52
8367,8,H,0.52
8369,8,H,0.52
8370,8,H,0.52
8373,8,H,0.54
8377,8,H,0.52
8386,8,H,0.52
201,2,S,0.45
202,2,S,0.45
8354,8,H,0.52
8355,8,H,0.69
8356,8,H,0.52
8358,8,H,0.52
8359,8,H,0.52
8361,8,H,0.52
8362,8,H,0.52
8387,8,H,0.52
8388,8,H,0.52
8389,8,H,0.52
8391,8,H,0.52
8392,8,H,0.52
8393,8,H,0.52
8394,8,H,0.52
8395,8,H,0.52
8397,8,H,0.52
8399,8,H,0.52
8401,8,H,0.52
8402,8,H,0.86961
8403,8,H,0.52
8419,8,H,0.52
6759,8,H,0.52
8404,8,H,0.53
8405,8,H,0.53
8407,8,H,0.52
8408,8,H,0.52
8409,8,H,0.52
8410,8,H,0.52
8411,8,H,0.52
8415,8,H,0.48
8416,8,H,0.48
8421,8,H,0.56
8423,8,H,0.56
8426,8,H,0.56
8422,8,H,0.52
8427,9,H,0.59
801,9,H,0.59
802,9,H,0.6
803,10,H,0.59
6768,9,H,0.59
8429,9,H,0.6
804,9,H,0.64
8513,9,H,0.59
8437,9,H,0.59
805,9,H,0.7
806,9,H,0.6
807,9,H,0.59
809,9,H,0.59
810,10,H,0.59
811,9,H,0.59
812,9,H,0.52
8438,9,H,0.6
814,10,H,0.61
815,9,H,0.64
8441,9,H,0.59
6782,9,H,0.58
851,9,H,0.59
8511,9,H,0.59
846,10,H,0.59
6785,9,H,0.59
8449,9,H,0.59
843,10,H,0.59
8450,9,H,0.59
816,9,H,0.59
817,9,H,0.59
842,9,H,0.59
818,9,H,0.51
8514,9,H,0.59
819,9,H,0.59
820,9,H,0.56
821,9,H,0.55
822,9,H,0.57
823,9,H,0.58
840,9,H,0.59
824,9,H,0.59
825,9,H,0.6
841,9,H,0.59
826,9,H,0.59
6791,9,H,0.59
827,9,H,0.56
829,10,H,0.59
844,9,H,0.59
813,9,H,0.61
830,9,H,0.58
6794,9,H,0.59
831,9,H,0.56
8512,9,H,0.59
845,9,H,0.59
832,9,H,0.57
8453,9,H,0.59
6797,9,H,0.59
8492,9,H,0.59
833,9,H,0.56
847,10,H,0.59
834,9,H,0.59
836,9,H,0.59
6799,9,H,0.6
835,9,H,0.6
8424,8,H,0.77
8455,9,H,0.59
828,9,H,0.59
8457,9,H,0.59
8459,9,H,0.59
8461,9,H,0.59
837,9,H,0.56
838,9,H,0.8
839,9,H,0.59
8425,8,H,0.52
8447,8,H,0.52
6918,8,H,0.52
8432,8,H,0.46315
8433,8,H,0.52
8434,8,H,0.46315
8431,8,H,0.46315
8436,8,H,0.52
8439,8,H,0.52
8440,8,H,0.41
8442,8,H,0.41
8444,8,H,0.52
8445,8,H,0.52
8475,8,H,0.46666
8477,8,H,0.52
8470,8,H,0.46666
8479,8,H,0.43
8467,8,H,0.46666
8469,8,H,0.37
6924,8,H,0.46666
8458,8,H,0.83517
989,8,H,0.52
8462,8,H,0.7706
8464,8,H,0.84
8471,9,H,0.52
8466,8,H,0.77921
8472,8,H,0.52
8474,8,H,0.66
8486,8,H,0.66
902,10,H,0.66
901,8,H,0.66
8476,8,H,0.52
8478,8,H,0.52
8480,8,H,0.32
8481,8,H,0.52
8483,8,H,0.52
8484,8,H,0.52
8485,8,H,0.52
8489,8,H,0.52
8490,8,H,0.52
8491,8,H,0.48
8494,8,H,0.52
911,8,H,0.52
8495,8,H,0.52
912,8,H,0.52
8502,6,H,0.36
6954,6,H,0.36
8499,8,H,0.52
927,6,H,0.36
921,6,H,0.36
923,6,H,0.36
924,6,H,0.36
925,6,H,0.36
6955,6,H,0.36
6959,6,H,0.36
8508,6,H,0.36
926,6,H,0.36
8501,8,H,0.52
6963,6,H,0.36
8504,8,H,0.52
8519,6,H,0.36
6967,6,H,0.36
922,6,H,0.36
8523,6,H,0.36
928,6,H,0.36
8524,6,H,0.36
8507,6,H,0.36
8505,8,H,0.52
929,6,H,0.36
8503,8,H,0.38
8509,8,H,0.52
6991,8,H,0.429
8556,8,H,0.52
8515,8,H,0.39
8518,8,H,0.52
8516,8,H,0.7594
8517,8,H,0.7594
8521,8,H,0.7594
8522,8,H,0.7594
8525,8,H,0.7594
8528,8,H,0.7
8529,8,H,0.52
8533,8,H,0.52
8534,8,H,0.4
8535,8,H,0.52
8536,8,H,0.52
8544,8,H,0.65
931,8,H,0.42
8546,8,H,0.52
8549,8,H,0.5
8550,8,H,0.5
8551,8,H,0.5
8560,8,H,0.5
8548,8,H,0.5
8554,8,H,0.52
888,8,H,0.52
8557,8,H,0.52
8558,8,H,0.52
8561,8,H,0.52
8563,8,H,0.52
8565,8,H,0.52
8567,8,H,0.52
8571,8,H,0.52
8572,8,H,0.52
8573,8,H,0.52
8577,8,H,0.69
8605,8,H,0.52
8606,8,H,0.43
8588,8,H,0.52
8589,8,H,0.52
7023,8,H,0.57
8590,8,H,0.57
8591,8,H,0.52
8592,8,H,0.57
8594,8,H,0.52
8595,8,H,0.57
8596,8,H,0.52
8597,8,H,0.52
8599,8,H,0.52
8600,8,H,0.52
211,1,S,0.36
212,1,S,0.34
8601,8,H,0.32
8603,8,H,0.32
8608,8,H,0.5
8609,8,H,0.48302
8612,8,H,0.52
8611,8,H,0.52
890,8,H,0.52
8618,8,H,0.52
8615,8,H,0.52
8613,8,H,0.52
8614,8,H,0.52
891,8,H,0.52
8616,8,H,0.52
8623,8,H,0.52
8624,8,H,0.52
895,8,H,0.52
8619,8,H,0.52
8620,8,H,0.52
8628,8,H,0.35
8626,8,H,0.52
8627,8,H,0.52
8629,8,H,0.52
8631,8,H,0.35
8632,8,H,0.52
8633,8,H,0.52
8634,8,H,0.52
8636,8,H,0.52
8660,8,H,0.52
8639,8,H,0.38745
870,8,H,0.52
8641,8,H,0.60442
8648,8,H,0.6
8643,8,H,0.60442
935,8,H,0.52
936,8,H,0.52
937,8,H,0.52
8658,8,H,0.52
8659,8,H,0.52
8644,8,H,0.52
8649,8,H,0.52
8650,8,H,0.52
8656,8,H,0.23
8652,8,H,0.52
8654,8,H,0.52
8655,8,H,0.51
8664,8,H,0.52
8666,8,H,0.52
8667,8,H,0.43
8675,8,H,0.52
8668,8,H,0.52
8672,8,H,0.52
8669,8,H,0.71142
8670,8,H,0.71142
8647,8,H,0.52
8673,8,H,0.52
7083,8,H,0.52
873,8,H,0.52
7093,8,H,0.52
7094,8,H,0.52
7098,8,H,0.52
7099,8,H,0.73
7100,8,H,0.52
7101,8,H,0.73
7102,8,H,0.73
7103,8,H,0.52
7104,8,H,0.52
7105,8,H,0.52
7125,8,H,0.39
7128,8,H,0.39
5965,8,H,0.52
7109,8,H,0.52
7116,8,H,0.52
7110,8,H,0.45
7111,8,H,0.52
7112,8,H,0.52
7113,8,H,0.52
7114,8,H,0.45
7117,8,H,0.69
7119,8,H,0.5
7129,8,H,0.38
7131,8,H,0.71894
7135,8,H,0.52
7136,8,H,0.52
7137,8,H,0.52
874,8,H,0.52
7141,8,H,0.82656
7142,8,H,0.74
531,9,H,0.56
5983,9,H,0.52
7144,8,H,0.43
7146,8,H,0.52
7147,8,H,0.52
7148,8,H,0.52
876,8,H,0.52
7153,8,H,0.52
7149,8,H,0.52
7150,8,H,0.52
7151,8,H,0.52
877,8,H,0.52
7152,8,H,0.44
7154,8,H,0.52
7155,8,H,0.52
7156,8,H,0.4
7158,8,H,0.52
7159,8,H,0.52
7160,8,H,0.52
7162,8,H,0.52
7164,8,H,0.52
7165,8,H,0.4
7166,8,H,0.52
7167,8,H,0.43
7168,8,H,0.4
7173,8,H,0.52
7174,8,H,0.52
7175,8,H,0.4262
7176,8,H,0.4
7177,8,H,0.52
7202,8,H,0.52
7180,8,H,0.59409
7181,8,H,0.52
7182,8,H,0.65
7184,8,H,0.52
7185,8,H,0.52
7186,8,H,0.75
7188,8,H,0.47
7190,8,H,0.52
7192,8,H,0.48216
7194,8,H,0.52
7195,8,H,0.52
7196,8,H,0.52
7198,8,H,0.52
7200,8,H,0.67
7203,8,H,0.52
541,8,H,0.55
5491,8,H,0.51
548,8,H,0.51
5492,8,H,0.51
7205,8,H,0.51
542,8,H,0.5
543,8,H,0.45
5493,8,H,0.55
544,8,H,0.53
545,8,H,0.48
546,8,H,0.53
549,8,H,0.51
7206,8,H,0.52
547,8,H,0.51
7207,8,H,0.696
7208,8,H,0.696
7210,8,H,0.52
7212,8,H,0.52
7213,8,H,0.52
7214,8,H,0.52
7215,8,H,0.72864
7216,8,H,0.75
7218,8,H,0.52
7219,8,H,0.72864
7223,8,H,0.52
7224,8,H,0.66297
7225,8,H,0.66297
7226,8,H,0.66297
7228,8,H,0.66297
7231,8,H,0.52
7233,8,H,0.64575
7235,8,H,0.52
7237,8,H,0.52
7262,8,H,0.52
7264,8,H,0.52
561,8,H,0.52
7239,8,H,0.52
7241,8,H,0.45
551,8,H,0.6
552,8,H,0.6
7245,8,H,0.52
7257,8,H,0.56
7248,8,H,0.56
7255,8,H,0.52
7251,8,H,0.46925
7252,8,H,0.49
7254,8,H,0.61
7256,8,H,0.52
7258,8,H,0.52
7260,8,H,0.38
555,8,H,0.52
7268,8,H,0.52
7272,8,H,0.5538
7273,8,H,0.52
7275,8,H,0.46
7279,8,H,0.52
7280,8,H,0.52
7282,8,H,0.5616
882,8,H,0.52
7285,8,H,0.52
7286,8,H,0.52
7288,8,H,0.52
7290,8,H,0.52
7294,8,H,0.52
7295,8,H,0.52
7298,8,H,0.52
7299,8,H,0.52
7300,8,H,0.52
7302,8,H,0.52
7303,8,H,0.52
7305,8,H,0.52
7306,8,H,0.52
7307,8,H,0.59
7309,8,H,0.52
7313,8,H,0.48
7315,8,H,0.52
7317,8,H,0.52
571,8,H,0.53
7321,8,H,0.52
7327,8,H,0.52
581,8,H,0.42
582,8,H,0.42
583,8,H,0.42
7328,8,H,0.42
7329,8,H,0.52
7331,8,H,0.52
7330,8,H,0.52
7334,8,H,0.49
7335,8,H,0.52
7336,8,H,0.52
7341,8,H,0.52
7343,8,H,0.38
7344,8,H,0.38
7346,8,H,0.38
7347,8,H,0.52
7349,8,H,0.24
7368,8,H,0.28
7364,8,H,0.28
7366,8,H,0.52
7353,8,H,0.52
7354,8,H,0.52
7355,8,H,0.52
7357,8,H,0.52
7359,8,H,0.7706
7360,8,H,0.65
7370,8,H,0.65
7371,8,H,0.65
7372,8,H,0.65
7374,8,H,0.61
7377,8,H,0.48
7381,8,H,0.49
7384,8,H,0.48302
7385,8,H,0.48302
7386,8,H,0.48302
7387,8,H,0.48302
7388,8,H,0.48302
7391,8,H,0.48302
7392,8,H,0.48302
7389,8,H,0.48302
7393,8,H,0.4262
7397,8,H,0.4262
7401,8,H,0.4262
7402,8,H,0.4262
7403,8,H,0.52
7404,8,H,0.4262
7407,8,H,0.32
7408,8,H,0.4262
7409,8,H,0.52
7410,8,H,0.52
7412,8,H,0.52
7413,8,H,0.4262
883,8,H,0.52
7418,8,H,0.52
7420,8,H,0.52
7422,8,H,0.52
7427,8,H,0.4
7429,8,H,0.4
7430,8,H,0.4
7432,8,H,0.52
7433,8,H,0.52
7434,8,H,0.52
7438,8,H,0.52
7441,8,H,0.54
7453,8,H,0.48
7454,8,H,0.52
7455,8,H,0.52
7442,8,H,0.52
7445,8,H,0.52
7446,8,H,0.52
7448,8,H,0.985
7456,8,H,0.52
7457,8,H,0.52
7458,8,H,0.52
6438,8,H,0.5
7459,8,H,0.52
591,8,H,0.5
7460,8,H,0.48
7462,8,H,0.52
7463,8,H,0.52
7465,8,H,0.52
7469,8,H,0.52
7472,8,H,0.52
7470,8,H,0.52
7471,8,H,0.52
7474,8,H,0.52
7475,8,H,0.44
7477,8,H,0.71391
7479,8,H,0.52
7481,8,H,0.52
7482,8,H,0.52
7485,8,H,0.52
7487,8,H,0.52
7490,8,H,0.52
7491,8,H,0.52
7492,8,H,0.52
7493,8,H,0.52
8063,8,H,0.3309
6299,8,H,0.5
8064,8,H,0.3309
8079,8,H,0.3309
8456,8,H,0.64
6868,8,H,0.52
7953,8,H,0.52
8068,8,H,0.3309
8412,8,H,0.48
8062,8,H,0.3309
7338,8,H,0.59409
7664,8,H,0.87
8329,8,H,0.48
7428,8,H,0.4
8182,8,S,0.52
8066,8,H,0.3309
8070,8,H,0.3309
6859,8,H,0.52
8092,8,H,0.3309
6208,8,H,0.58
7126,8,H,0.39
6176,8,H,0.484
8752,8,H,0.50274
7319,8,H,0.23678
6778,8,H,0.5756
8722,8,H,0.52
8753,8,H,0.52
8069,8,H,0.3309
8553,8,H,0.418
6179,8,H,0.63284
8583,8,H,0.66
8559,8,H,0.41328
6974,8,H,0.48
8065,8,H,0.3309
7124,8,H,0.39
6849,8,H,0.5
8086,8,H,0.3309
6190,8,H,0.68
8430,8,H,0.643
6109,8,H,0.76649
8398,8,H,0.52
6570,8,H,0.58118
6160,8,H,0.52
7543,8,H,0.48
8586,8,H,0.32
6525,8,H,0.67
8225,8,H,0.57
8061,8,H,0.3309
6035,8,H,0.52
6981,8,H,0.48
6997,8,H,0.52
6185,8,H,0.68
8073,8,H,0.3309
8585,8,H,0.52
6381,8,H,0.72238
6863,8,H,0.5
7311,8,H,0.5363
6250,8,H,0.364
6200,8,H,0.53
8081,8,H,0.3309
6258,8,H,0.52
8082,8,H,0.3309
8080,8,H,0.3309
6935,8,H,0.715
6462,8,H,0.28
7878,8,H,0.5
8697,8,H,0.63284
8646,8,H,0.55
8695,8,H,0.63284
7123,8,H,0.39
6978,8,H,0.48
8349,8,H,0.52
8382,8,H,0.52
8527,8,H,0.429
7663,8,H,0.52
381,8,H,0.52
745,6,H,0.35
747,6,H,0.31
919,8,H,0.52
952,8,H,0.32
953,8,H,0.32
8178,8,H,0.52
8269,8,H,0.52
8487,9,H,0.6
8794,8,H,0.52
18,3,S,0.36
67,1,S,0.42
7466,8,H,0.52
143,10,S,0.43
144,4,S,0.43
334,8,H,0.33
7016,8,H,0.52
7770,8,H,0.32
7771,8,H,0.44
423,8,H,0.4
431,8,H,0.42
463,8,H,0.49
7068,8,H,0.52
808,9,H,0.59
324,8,H,0.47
325,8,H,0.47
335,8,H,0.33
6153,4,S,0.41
6856,8,H,0.52
6068,8,H,0.52
8971,8,H,0.52
8981,8,H,0.52
767,8,H,0.47
7085,8,H,0.52
369,8,H,0.51
390,8,H,0.52
539,8,H,0.51
759,8,H,0.47
6134,8,H,0.52
6404,8,H,0.52
7718,8,H,0.52
8677,8,H,0.52
8951,8,H,0.52
8961,8,H,0.52
7486,1,S,0.51
8803,8,H,0.52
8805,8,H,0.61
951,8,H,0.32
8813,8,H,0.32
8814,8,H,0.32
8806,8,H,0.55104
8800,8,H,0.55104
8807,8,H,0.55104
8809,8,H,0.55104
8810,8,H,0.55104
8815,8,H,0.52
8812,8,H,0.52
8816,8,H,0.52
251,3,S,0.41
252,3,S,0.41
8822,8,H,0.34
8824,8,H,0.47
8825,8,H,0.52
8827,8,H,0.32553
8828,8,H,0.52
8829,8,H,0.52
8831,8,H,0.34
8830,8,H,0.52
8821,8,H,0.52
994,8,H,0.52
8833,8,H,0.52
8834,8,H,0.52
8836,8,H,0.52
8838,8,H,0.32
8839,8,H,0.32
8842,8,H,0.52
8844,8,H,0.52
8846,8,H,0.57687
8848,8,H,0.52
261,3,S,0.38
262,3,S,0.41
263,3,S,0.42
264,3,S,0.42
8850,8,H,0.52
971,8,H,0.6
972,8,H,0.46
973,8,H,0.59
8862,8,H,0.54
8851,8,H,0.54
8852,8,H,0.54
974,8,H,0.54
975,8,H,0.48
976,8,H,0.54
977,8,H,0.57
981,8,H,0.51
8859,8,H,0.52
8853,8,H,0.52
8854,8,H,0.52
8855,8,H,0.52
8856,8,H,0.18
8857,8,H,0.18
8860,8,H,0.53
8861,8,H,0.52
995,8,H,0.52
8869,8,H,0.48216
8877,8,H,0.52
8878,8,H,0.52
8879,8,H,0.53
8880,8,H,0.52
8871,8,H,0.52
8872,8,H,0.65006
8873,8,H,0.52
7199,8,H,0.52
8874,8,H,0.52
8876,8,H,0.52
8881,8,H,0.52
8883,8,H,0.52
8885,8,H,0.52
8886,8,H,0.59
8887,8,H,0.52
8889,8,H,0.52
8890,8,H,0.52
8891,8,H,0.52
8892,8,H,0.52
8895,8,H,0.52
8896,8,H,0.52
8897,8,H,0.52
8898,8,H,0.52
8900,8,H,0.52
8901,8,H,0.52
8903,8,H,0.52521
8904,8,H,0.61131
8914,8,H,0.52
8906,8,H,0.52
8902,8,H,0.593
8907,8,H,0.593
8908,8,H,0.593
8909,8,H,0.593
8910,8,H,0.52
8912,8,H,0.52
8913,8,H,0.52
8916,8,H,0.52
982,8,H,0.52
8917,8,H,0.52
8918,8,H,0.52
8919,8,H,0.52
8942,8,H,0.52
8923,8,H,0.52
8924,8,H,0.52
8944,8,H,0.55
8925,8,H,0.6
8928,8,H,0.52
8929,8,H,0.6
8930,8,H,0.6
8931,8,H,0.52
8932,8,H,0.52
8933,8,H,0.6
8934,8,H,0.52
8935,8,H,0.52
8937,8,H,0.52
8938,8,H,0.52
7243,8,H,0.52
8939,8,H,0.52
7246,8,H,0.52
8940,8,H,0.52
8941,8,H,0.52
8943,8,H,0.52
8947,8,H,0.52
998,8,H,0.52
299,4,S,0.41
999,8,H,0.52
6943,8,H,0.71463
8087,8,H,0.3309
8703,8,H,0.63284
8071,8,H,0.3309
8863,8,H,0.55
8243,8,H,0.68705
7365,8,H,0.25
7191,8,H,0.48216
8059,8,H,0.3309
8621,8,H,0.52
7332,8,H,0.71
8083,8,H,0.3309
7086,8,H,0.73
7249,8,H,0.56
6769,8,H,0.76
6784,8,H,0.5756
7424,8,H,0.72755
8244,8,H,0.68705
8057,8,H,0.3309
8075,8,H,0.3309
8000,8,H,0.5
8866,8,H,0.48
6984,8,H,0.48
8103,8,H,0.65
7881,8,H,0.65
7750,8,H,0.4
6188,8,H,0.68
7333,8,H,0.52
7586,8,H,0.42
8911,8,H,0.593
7220,8,H,0.729
7705,8,H,0.39
6891,8,H,0.48
7017,8,H,0.42
7680,8,H,0.5
8308,8,H,0.57
8090,8,H,0.3309
8107,8,H,0.41
8532,8,H,0.7
6779,8,H,0.5756
7003,8,H,0.52
6729,8,H,0.474
6841,8,H,0.5
7666,8,H,0.87
7653,8,H,0.861
8755,8,H,0.39606
7902,8,H,0.44
7657,8,H,0.52521
